player_name,team,position
D. Hass,Detroit Mercy Titans,0
E. Wood,Detroit Mercy Titans,GK
T. Mihalić,Indiana Hoosiers,CF
L. Jeffus,Indiana Hoosiers,CF
L. Bezerra,Indiana Hoosiers,0
C. Heuer,Indiana Hoosiers,LW
C. Murador,Indiana Hoosiers,LW
C. Oduro,Indiana Hoosiers,LW
S. Sarver,Indiana Hoosiers,RW
J. Weiss,Indiana Hoosiers,CF
J. Wagoner,Indiana Hoosiers,"LCMF, RCMF"
J. Miller,Indiana Hoosiers,RCB
J. Maher,Indiana Hoosiers,LCB
J. Lindimore,Indiana Hoosiers,LCB
Q. Elliot,Indiana Hoosiers,RB
J. Harms,Indiana Hoosiers,GK
J. Demian,Indiana Hoosiers,0
P. McDonald,Indiana Hoosiers,"LCMF, RCMF"
B. Minzey,Indiana Hoosiers,0
N. Joseph,Indiana Hoosiers,CF
S. Stewart,Indiana Hoosiers,CF
A. Barger,Indiana Hoosiers,LB
M. Nesci,Indiana Hoosiers,0
O. Foster,LMU Lions,RW
M. Lejbowicz,Maryland College Park Terrapins,LW
C. Fitzgerald,Maryland College Park Terrapins,0
C. Gerber,Maryland College Park Terrapins,CF
C. Griffith,Maryland College Park Terrapins,"CF, LAMF"
S. Wolcott,Maryland College Park Terrapins,GK
K. Quist-Therson,Maryland College Park Terrapins,LCMF
A. Nitzl,Maryland College Park Terrapins,"RB, RDMF"
C. Steinleitner,Maryland College Park Terrapins,"LDMF, RDMF"
J. Michel,Maryland College Park Terrapins,LW
W. Kulvik,Maryland College Park Terrapins,RCB
M. Riley,Maryland College Park Terrapins,RCB
M. Rogers,Maryland College Park Terrapins,"CF, LAMF, RAMF"
H. Blatteis,Maryland College Park Terrapins,GK
A. Ndrenika,Maryland College Park Terrapins,"AMF, RDMF"
L. Costabile,Maryland College Park Terrapins,LB
S. Masereka,Maryland College Park Terrapins,"CF, RAMF"
A. Sheppela,Maryland College Park Terrapins,RAMF
M. Devries,Maryland College Park Terrapins,LCB
M. De Jesus,Maryland College Park Terrapins,AMF
L. Van Heukelum,Maryland College Park Terrapins,CF
B. Saint Martin,Maryland College Park Terrapins,0
B. Thiesen,Maryland College Park Terrapins,"LCB, RCB"
J. Clark,Maryland College Park Terrapins,"RB, RCB"
L. Koehl,Maryland College Park Terrapins,LDMF
L. Mack,Maryland College Park Terrapins,GK
C. Bruletti,Michigan State Spartans,LCMF
S. Kerrigan,Michigan State Spartans,CF
L. Gerhardt,Michigan State Spartans,LCB
J. Spadafora,Michigan State Spartans,CF
J. Sharp,Michigan State Spartans,LW
E. Emovon,Michigan State Spartans,CF
B. Munson,Michigan State Spartans,LB
Z. Babiak,Michigan State Spartans,AMF
J. Stout,Michigan State Spartans,CF
R. Ludwig,Michigan State Spartans,RB
Z. Kelly,Michigan State Spartans,GK
J. Guggemos,Michigan State Spartans,"RW, CF"
M. Saad,Michigan State Spartans,CF
J. Adam,Michigan State Spartans,RCB
J. Mason,Michigan State Spartans,0
W. Eby,Michigan State Spartans,LB
J. Spadafora,Michigan State Spartans,CF
V. Kovac,Michigan State Spartans,LAMF
S. Soga,Michigan State Spartans,LW
K. Schueneman,Michigan State Spartans,LCMF3
C. Arce,Michigan State Spartans,RCMF
Q. Rogers,Michigan Wolverines,"LCMF, RCMF"
U. Zeitz,Michigan Wolverines,CF
K. Brame,Michigan Wolverines,LCMF
H. Evans,Michigan Wolverines,GK
D. Herrera,Michigan Wolverines,"RAMF, RW"
O. Martin,Michigan Wolverines,CF
I. Goldson,Michigan Wolverines,GK
P. O'Toole,Michigan Wolverines,RB
C. Lawrence,Michigan Wolverines,"LWF, RWF"
P. Lurot,Michigan Wolverines,CB
M. Fisher,Michigan Wolverines,LB
G. Elmquist,Michigan Wolverines,CF
J. Bucknor,Michigan Wolverines,CF
J. Nabaka,Michigan Wolverines,RWB
N. Cassiday,Michigan Wolverines,0
N. Miller,Michigan Wolverines,RCB
M. Leon,Michigan Wolverines,CF
B. Soto,Michigan Wolverines,LW
R. Perez,Michigan Wolverines,"LAMF, RDMF"
D. Obilo,Michigan Wolverines,CF
M. Parker,Michigan Wolverines,"LCMF, LDMF, RDMF"
D. Davis,Michigan Wolverines,RW
J. Ramos,Michigan Wolverines,"AMF, CF"
W. Baker,Michigan Wolverines,LCB
Z. Martens,Michigan Wolverines,"LDMF, RCMF, RDMF"
B. Blevins,Michigan Wolverines,"LAMF, LW, RW"
J. Suchecki,Northwestern Wildcats,"LCMF, RCMF"
J. Gajadhar,Northwestern Wildcats,"LCMF, LW"
M. Ramirez,Northwestern Wildcats,"LCMF, CF"
N. Prince,Northwestern Wildcats,"CB, RCB"
J. Van Deventer,Northwestern Wildcats,LW
L. Shreiner,Northwestern Wildcats,"LB, RB, RCB3"
F. Volmar,Northwestern Wildcats,LB
C. McCamy,Northwestern Wildcats,"LW, RCMF"
T. Glassberg,Northwestern Wildcats,"LB, LB5"
B. LeBel,Northwestern Wildcats,"LCMF, RCMF"
R. Ponce de leon,Northwestern Wildcats,GK
R. Mayer,Northwestern Wildcats,"LCB, LCB3"
T. Dewing,Northwestern Wildcats,CF
B. Clagette,Northwestern Wildcats,CF
B. Mayer,Northwestern Wildcats,"RB, RB5"
A.Awujo,Northwestern Wildcats,"RW, CF"
P. Son,Northwestern Wildcats,RW
H. Richter,Northwestern Wildcats,LCB
P. Reisz,Northwestern Wildcats,LCMF3
