Player,Image URL
Lionel Messi,https://media.guim.co.uk/95998dd76aa1c5196a648a5d395717eb577ffb9d/0_0_7677_4609/500.jpg
Kylian Mbappé,https://media.guim.co.uk/abadabb4475f98e5e4d3b484f1c93ff042b1c8ba/0_95_2742_1645/500.jpg
Karim Benzema,https://media.guim.co.uk/65d111ee08979d1ad86d06816b93573b8ed57525/0_88_5440_3263/500.jpg
Erling Haaland,https://media.guim.co.uk/52414521614247b5c709e9b1a4dd6c40baf23ac1/0_70_2644_1587/500.jpg
Luka Modric,https://media.guim.co.uk/2de34801abc8d247bfc7b2d7f4fad5ed2277af27/0_177_2800_1681/500.jpg
Kevin De Bruyne,https://media.guim.co.uk/00eab0ade09fc1c4d9fbfbd97f655346ef71d073/0_127_3070_1842/500.jpg
Robert Lewandowski,https://media.guim.co.uk/78eee1b998de665f8694989d25e96980184dfa13/248_110_5107_3064/500.jpg
Vinícius Júnior,https://media.guim.co.uk/558d366f62a65998fca2ffbf07c17e19fdbb8b72/0_29_1899_1139/500.jpg
Thibaut Courtois,https://media.guim.co.uk/95d066e01faf53e97e22be522f2f84625d58da93/0_13_1953_1172/500.jpg
Mohamed Salah,https://media.guim.co.uk/03b1a8e668ec8890efbc73cbc85a092fcd873468/0_92_2595_1557/500.jpg
Sadio Mané,https://media.guim.co.uk/a15637ce2f00ad294ddaa898b5ee83ca8ccbb917/0_61_3753_2252/500.jpg
Neymar,https://media.guim.co.uk/908af6080d2a35724ed48b2779e7c977d7c52698/0_0_2969_1782/500.jpg
Harry Kane,https://media.guim.co.uk/74a55254a7940024d6b3ca1984de7d4dd9488cff/0_74_1499_899/500.jpg
Jude Bellingham,https://media.guim.co.uk/b583ed0d6abeaee2de2607b43e95a8e7d22d8a6b/0_214_4000_2400/500.jpg
Casemiro,https://media.guim.co.uk/8eac35c0e256b88fab02aee8e1e848e5cd466055/705_392_3955_2373/500.jpg
Achraf Hakimi,https://media.guim.co.uk/47f87553593ca072e55fb346bfc28a6780738bf3/0_93_3116_1870/500.jpg
Antoine Griezmann,https://media.guim.co.uk/c55b9d1774f271b66e7d59289cbc6bfacca2506f/0_12_2866_1720/500.jpg
Federico Valverde,https://media.guim.co.uk/f2fb011f71f874f9038cea40807806954f4c9be6/0_102_4196_2519/500.jpg
Pedri,https://media.guim.co.uk/3119446a094aa01b288d194703447a17d308e05e/0_48_4108_2465/500.jpg
Emiliano Martínez,https://media.guim.co.uk/67ad76525f64eea9ad3a787fb51abb886f28c3fd/0_0_2378_1426/500.jpg
Enzo Fernández,https://media.guim.co.uk/f38b670ece8c8f0a5e6dc6916b46918cf1a56dfd/227_361_2897_1739/500.jpg
Bukayo Saka,https://media.guim.co.uk/c7617c610fc9b8b8526d06f2c14153415a54b138/0_121_4288_2573/500.jpg
Rafael Leão,https://media.guim.co.uk/30a5edc53b938c232cd620c3f063a43a67da7770/0_196_5920_3554/500.jpg
Phil Foden,https://media.guim.co.uk/6fa03872a542df16cf5d52e56a3ce3b16ea8d174/0_340_5139_3083/500.jpg
Jamal Musiala,https://media.guim.co.uk/97e2bc86f0ade5e2c2fa1e8d16799300ee47cc04/0_102_3294_1976/500.jpg
Son Heung-min,https://media.guim.co.uk/a7fe492befba2227d430d7e660f7f85cd8711845/358_397_6684_4012/500.jpg
Virgil van Dijk,https://media.guim.co.uk/5260641128ff6faceb179695b84bd29a4739ae59/0_2_5100_3059/500.jpg
Bruno Fernandes,https://media.guim.co.uk/145ce63eb1f540b2e17b983ff43f1d6759190f4e/417_62_3136_1882/500.jpg
Bernardo Silva,https://media.guim.co.uk/e66f750bb0da1b2025e0e19b9463093898644a76/0_66_3500_2101/500.jpg
Olivier Giroud,https://media.guim.co.uk/f22ebfe062ebbb46c6dcab5c1450de4546ce543c/0_39_3128_1878/500.jpg
Josko Gvardiol,https://media.guim.co.uk/3086a609564adc4b8b0298e0b7ad941456a1675c/0_109_2943_1767/500.jpg
Julián Álvarez,https://media.guim.co.uk/1ea7864a0d1179938df3c16a0f6355703020f431/0_44_6000_3600/500.jpg
Christopher Nkunku,https://media.guim.co.uk/1c934d4df2ec8461dc9d3cc7f810f611921882f8/0_170_3183_1910/500.jpg
Alisson,https://media.guim.co.uk/99505f4853c16dbe161c81a1183454a86c33fca8/0_264_3499_2099/500.jpg
Martin Ødegaard,https://media.guim.co.uk/29274cdd6c69952c1f2ac611ee554fd835d26805/0_56_3500_2101/500.jpg
João Cancelo,https://media.guim.co.uk/5c19e6e0d1ce969a6e823d4eb08b33b7c4abe920/0_90_1773_1063/500.jpg
Gavi,https://media.guim.co.uk/d79e2b38e260a3f7e60e79046772bd089c26027a/0_309_3561_2137/500.jpg
Ángel Di María,https://media.guim.co.uk/2eb2c31ca2f799cb6df47d50fcdf99b851ad17c4/0_86_2342_1404/500.jpg
Toni Kroos,https://media.guim.co.uk/96bfb3553925510a39fc6092b684e90c83d97c02/0_49_3242_1946/500.jpg
Khvicha Kvaratskhelia,https://media.guim.co.uk/f1b90b70cc6094e1d5d657b9a8e297e9ae331287/0_194_3266_1961/500.jpg
Joshua Kimmich,https://media.guim.co.uk/22b24681e7c0451e59f0f1b28985fa0ca4656c23/0_83_2718_1632/500.jpg
David Alaba,https://media.guim.co.uk/67fdc47be0a00938eea3032b041cfe48de8c1f15/0_287_5624_3376/500.jpg
