,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
0,?tefan Radu,Lazio,DF,556.0,3.87,1.29,0.65,0.0,2.58,0.97,0.0,0.0,0.32,0.16,7.74,0.48,1.61,0.0,0.32,0.81,52.6,5.48,2.58,3.39,0.0,38.1,1.13,0.0,0.16,0
1,?ukasz Fabia?ski,West Ham,GK,3330.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.05,0.03,27.2,19.0,0.0,0.3,0.0,11.1,0.0,0.0,0.03,0
2,?ukasz Skorupski,Bologna,GK,3240.0,0.03,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.11,0.06,35.0,18.9,0.0,0.11,0.0,16.4,0.0,0.0,0.0,0
3,Aaron Connolly,Brighton,FW,156.0,4.12,0.0,2.35,0.0,1.76,4.12,0.0,0.0,1.18,0.0,4.12,0.59,0.0,0.0,0.0,0.59,10.6,0.0,0.0,0.0,0.0,12.9,0.59,0.0,0.59,0
4,Aaron Cresswell,West Ham,DF,2726.0,2.1799999999999997,0.99,0.96,0.07,3.63,0.43,0.07,0.1,0.59,0.1,8.02,0.36,1.42,0.0,0.1,0.66,67.6,12.6,5.12,4.19,0.79,48.3,2.08,0.26,1.16,0
5,Aaron Hickey,Bologna,DF,2820.0,1.85,1.44,1.05,0.13,4.22,2.4,0.16,0.03,0.67,0.42,5.75,0.86,1.25,0.0,0.22,1.44,41.7,3.67,1.63,1.18,0.7,31.3,1.25,0.29,0.58,0
6,Aaron Lennon,Burnley,MF,1551.0,2.09,2.21,2.79,0.23,3.26,1.45,0.12,0.0,0.7,0.23,5.29,0.93,0.87,0.0,0.12,1.34,22.3,2.62,0.99,0.52,0.29,20.1,1.74,0.12,0.58,0
7,Aaron Ramsdale,Arsenal,GK,3060.0,0.03,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.03,0.0,34.0,17.8,0.03,0.82,0.0,17.8,0.0,0.0,0.0,0
8,Aaron Ramsey,Juventus,MF,99.0,0.0,0.0,1.82,0.0,1.82,0.91,0.0,0.0,0.0,0.0,3.64,0.91,1.82,0.0,0.0,0.91,60.9,10.9,3.64,4.55,0.0,53.6,0.0,0.0,1.82,0
9,Aaron Wan-Bissaka,Manchester Utd,DF,1793.0,2.51,2.31,1.31,0.05,4.72,0.85,0.0,0.0,0.25,0.05,8.24,1.41,2.56,0.0,0.1,0.95,55.9,4.42,2.66,2.16,0.6,40.2,1.11,0.35,0.7,0
10,Aarón Escandell,Granada,GK,284.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.31,0.31,0.0,39.1,29.7,0.0,0.94,0.0,11.3,0.0,0.0,0.0,0
11,Aarón Martín,Mainz 05,DF,2292.0,1.77,2.27,0.94,0.0,2.31,0.67,0.04,0.04,0.71,0.16,6.82,0.71,1.37,0.0,0.27,1.33,43.8,12.1,3.02,2.12,1.1,28.5,2.9,0.71,1.92,0
12,Abdel Jalil Medioub,Bordeaux,DF,622.0,2.32,2.17,0.43,0.0,1.3,0.14,0.0,0.0,0.43,0.0,8.12,0.14,2.46,0.0,0.0,0.58,41.2,9.71,1.59,1.16,0.0,31.7,0.0,0.0,0.0,0
13,Abdelhamid Sabiri,Sampdoria,MFFW,893.0,5.15,3.23,2.53,0.1,2.93,3.64,0.3,0.2,1.62,0.91,5.05,2.12,0.81,0.0,0.3,2.53,34.8,5.56,2.53,2.83,0.71,35.3,0.51,0.1,1.11,0
14,Abdessamad Ezzalzouli,Barcelona,FWDF,580.0,2.66,2.34,9.38,0.31,9.22,2.97,0.16,0.0,2.5,0.47,5.78,3.44,1.72,0.0,0.63,2.66,29.5,2.34,1.41,0.31,0.47,35.8,3.28,0.16,0.78,0
15,Abdou Diallo,Paris S-G,DF,877.0,1.96,2.47,0.93,0.0,6.49,0.31,0.0,0.1,0.21,0.1,5.98,1.13,1.34,0.0,0.1,1.24,72.1,8.97,5.57,3.71,0.82,61.0,1.44,0.31,0.41,0
16,Abdou Harroui,Sassuolo,MF,452.0,3.2,2.4,2.8,0.0,6.4,0.4,0.0,0.0,2.6,0.4,11.0,1.8,1.4,0.0,0.4,3.0,59.4,7.8,2.8,6.8,0.0,52.6,0.6,0.0,1.0,0
17,Abdoulaye Bakayoko,Saint-Étienne,DF,307.0,1.76,4.71,0.29,0.0,1.18,1.47,0.0,0.0,0.0,0.0,10.0,1.47,4.12,0.0,0.0,2.06,38.5,10.0,1.47,1.18,0.0,27.4,0.0,0.0,0.0,0
